"","date","which.news","actual","forcast","difference"
"78","2014-07-23-10-30","US DOE Refinery Utilization",0,"0.05",-0.05
"79","2014-07-16-10-30","US DOE Refinery Utilization",2.2,"0",2.2
"80","2014-07-09-10-30","US DOE Refinery Utilization",0.2,"0.15",0.05
"81","2014-07-02-10-30","US DOE Refinery Utilization",2.9,"0.5",2.4
"82","2014-06-25-10-30","US DOE Refinery Utilization",1.4,"0.5",0.9
"83","2014-06-18-10-30","US DOE Refinery Utilization",-0.8,"0.7",-1.5
"84","2014-06-11-10-30","US DOE Refinery Utilization",-2.9,"0.25",-3.15
"85","2014-06-04-10-30","US DOE Refinery Utilization",0.9,"0.5",0.4
"86","2014-05-29-11-00","US DOE Refinery Utilization",1.2,"0.5",0.7
"87","2014-05-21-10-30","US DOE Refinery Utilization",-0.1,"0.45",-0.55
"88","2014-05-14-10-30","US DOE Refinery Utilization",-1.4,"0.5",-1.9
"89","2014-05-07-10-30","US DOE Refinery Utilization",-0.8,"0.5",-1.3
"90","2014-04-30-10-30","US DOE Refinery Utilization",0,"0.5",-0.5
"91","2014-04-23-10-30","US DOE Refinery Utilization",2.2,"0.2",2
"92","2014-04-16-10-30","US DOE Refinery Utilization",1.3,"0",1.3
"93","2014-04-09-10-30","US DOE Refinery Utilization",-0.2,"0.2",-0.4
"94","2014-04-02-10-30","US DOE Refinery Utilization",1.7,"0.35",1.35
"95","2014-03-26-10-30","US DOE Refinery Utilization",0.4,"0.55",-0.15
"96","2014-03-19-10-30","US DOE Refinery Utilization",-0.4,"-0.5",0.1
"97","2014-03-12-10-30","US DOE Refinery Utilization",-1.4,"0",-1.4
"98","2014-03-05-10-30","US DOE Refinery Utilization",-0.6,"-0.3",-0.3
"99","2014-02-26-10-30","US DOE Refinery Utilization",1.2,"0",1.2
"100","2014-02-20-11-00","US DOE Refinery Utilization",-0.3,"-0.5",0.2
"101","2014-02-12-10-30","US DOE Refinery Utilization",1,"-0.5",1.5
"102","2014-02-05-10-30","US DOE Refinery Utilization",-2.1,"-0.1",-2
"103","2014-01-29-10-30","US DOE Refinery Utilization",1.7,"0.85",0.85
"104","2014-01-23-11-00","US DOE Refinery Utilization",-3.5,"-0.5",-3
"105","2014-01-15-10-30","US DOE Refinery Utilization",-2.3,"-0.4",-1.9
"106","2014-01-08-10-30","US DOE Refinery Utilization",-0.1,"0.25",-0.35
"107","2014-01-03-11-00","US DOE Refinery Utilization",-0.3,"0",-0.3
"108","2013-12-27-11-00","US DOE Refinery Utilization",1.2,"-0.1",1.3
"109","2013-12-18-10-30","US DOE Refinery Utilization",-1.1,"0.1",-1.2
"110","2013-12-11-10-30","US DOE Refinery Utilization",0.2,"0.5",-0.3
"111","2013-12-04-10-30","US DOE Refinery Utilization",3,"0.6",2.4
"112","2013-11-27-10-30","US DOE Refinery Utilization",0.8,"0.25",0.55
"113","2013-11-20-10-30","US DOE Refinery Utilization",-0.1,"0.5",-0.6
"114","2013-11-14-11-00","US DOE Refinery Utilization",1.9,"0.6",1.3
"115","2013-11-06-10-30","US DOE Refinery Utilization",-0.5,"-0.23",-0.27
"116","2013-10-30-10-30","US DOE Refinery Utilization",1.4,"0",1.4
"117","2013-10-23-10-30","US DOE Refinery Utilization",-0.3,"0.25",-0.55
"118","2013-10-21-10-30","US DOE Refinery Utilization",-0.3,"0.25",-0.55
"119","2013-10-09-10-30","US DOE Refinery Utilization",-3,"-1",-2
"120","2013-10-02-10-30","US DOE Refinery Utilization",-1.3,"-0.95",-0.35
"121","2013-09-25-10-30","US DOE Refinery Utilization",-2.2,"-0.88",-1.32
"122","2013-09-18-10-30","US DOE Refinery Utilization",0,"-0.5",0.5
"123","2013-09-11-10-30","US DOE Refinery Utilization",0.8,"-0.9",1.7
"124","2013-09-05-11-00","US DOE Refinery Utilization",0.5,"-0.5",1
"125","2013-08-28-10-30","US DOE Refinery Utilization",0.2,"-0.25",0.45
"126","2013-08-21-10-30","US DOE Refinery Utilization",1.6,"-0.5",2.1
"127","2013-08-14-10-30","US DOE Refinery Utilization",-1.5,"-0.2",-1.3
"128","2013-08-07-10-30","US DOE Refinery Utilization",-0.4,"-0.3",-0.1
"129","2013-07-31-10-30","US DOE Refinery Utilization",-1,"-0.2",-0.8
"130","2013-07-24-10-30","US DOE Refinery Utilization",-0.5,"-0.3",-0.2
"131","2013-07-17-10-30","US DOE Refinery Utilization",0.4,"-0.4",0.8
"132","2013-07-10-10-30","US DOE Refinery Utilization",0.2,"0.2",0
"133","2013-07-03-10-30","US DOE Refinery Utilization",2,"0.5",1.5
"134","2013-06-26-10-30","US DOE Refinery Utilization",0.9,"0.25",0.65
"135","2013-06-19-10-30","US DOE Refinery Utilization",1.8,"0.5",1.3
"136","2013-06-12-10-30","US DOE Refinery Utilization",-0.9,"0.3",-1.2
"137","2013-06-05-10-30","US DOE Refinery Utilization",2,"0.6",1.4
"138","2013-05-30-11-00","US DOE Refinery Utilization",-0.9,"0.3",-1.2
"139","2013-05-22-10-30","US DOE Refinery Utilization",-0.7,"0.5",-1.2
"140","2013-05-15-10-30","US DOE Refinery Utilization",1,"0.5",0.5
"141","2013-05-08-10-30","US DOE Refinery Utilization",2.6,"0.5",2.1
"142","2013-05-01-10-30","US DOE Refinery Utilization",0.9,"0.68",0.22
"143","2013-04-24-10-30","US DOE Refinery Utilization",-2.8,"0.5",-3.3
"144","2013-04-17-10-30","US DOE Refinery Utilization",-0.5,"0",-0.5
"145","2013-04-10-10-30","US DOE Refinery Utilization",0.5,"0.2",0.3
"146","2013-04-03-10-30","US DOE Refinery Utilization",0.6,"0.3",0.3
"147","2013-03-27-10-30","US DOE Refinery Utilization",2.2,"0.45",1.75
"148","2013-03-20-10-30","US DOE Refinery Utilization",2.5,"0",2.5
"149","2013-03-13-10-30","US DOE Refinery Utilization",-1.2,"0",-1.2
"150","2013-03-06-10-30","US DOE Refinery Utilization",-2.9,"0.4",-3.3
"151","2013-02-27-10-30","US DOE Refinery Utilization",2.2,"0.2",2
"152","2013-02-21-11-00","US DOE Refinery Utilization",-0.9,"-0.4",-0.5
"153","2013-02-13-10-30","US DOE Refinery Utilization",-0.4,"0",-0.4
"154","2013-02-06-10-30","US DOE Refinery Utilization",-0.8,"-0.4",-0.4
"155","2013-01-30-10-30","US DOE Refinery Utilization",1.4,"-0.35",1.75
"156","2013-01-24-11-00","US DOE Refinery Utilization",-4.3,"-0.6",-3.7
"157","2013-01-16-10-30","US DOE Refinery Utilization",-1.2,"-0.75",-0.45
"158","2013-01-09-10-30","US DOE Refinery Utilization",-1.3,"0.25",-1.55
"159","2013-01-04-11-00","US DOE Refinery Utilization",0.1,"0.5",-0.4
