"","date","which.news","actual","forcast","difference"
"86","2014-05-29-11-00","US DOE Distillate Inventories",-196,"500",-696
"87","2014-05-21-10-30","US DOE Distillate Inventories",3399,"-500",3899
"88","2014-05-14-10-30","US DOE Distillate Inventories",-1124,"500",-1624
"89","2014-05-07-10-30","US DOE Distillate Inventories",-447,"750",-1197
"90","2014-04-30-10-30","US DOE Distillate Inventories",1936,"500",1436
"91","2014-04-23-10-30","US DOE Distillate Inventories",597,"-300",897
"92","2014-04-16-10-30","US DOE Distillate Inventories",-1278,"0",-1278
"93","2014-04-09-10-30","US DOE Distillate Inventories",239,"-250",489
"94","2014-04-02-10-30","US DOE Distillate Inventories",554,"0",554
"95","2014-03-26-10-30","US DOE Distillate Inventories",1555,"-1380",2935
"96","2014-03-19-10-30","US DOE Distillate Inventories",-3097,"-800",-2297
"97","2014-03-12-10-30","US DOE Distillate Inventories",-533,"-450",-83
"98","2014-03-05-10-30","US DOE Distillate Inventories",1414,"-1000",2414
"99","2014-02-26-10-30","US DOE Distillate Inventories",338,"-1250",1588
"100","2014-02-20-11-00","US DOE Distillate Inventories",-339,"-2100",1761
"101","2014-02-12-10-30","US DOE Distillate Inventories",-731,"-2125",1394
"102","2014-02-05-10-30","US DOE Distillate Inventories",-2360,"-2500",140
"103","2014-01-29-10-30","US DOE Distillate Inventories",-4584,"-2550",-2034
"104","2014-01-23-11-00","US DOE Distillate Inventories",-3212,"-500",-2712
"105","2014-01-15-10-30","US DOE Distillate Inventories",-1023,"1250",-2273
"106","2014-01-08-10-30","US DOE Distillate Inventories",5826,"2250",3576
"107","2014-01-03-11-00","US DOE Distillate Inventories",5042,"750",4292
"108","2013-12-27-11-00","US DOE Distillate Inventories",-1850,"-1000",-850
"109","2013-12-18-10-30","US DOE Distillate Inventories",-2110,"0",-2110
"110","2013-12-11-10-30","US DOE Distillate Inventories",4541,"1550",2991
"111","2013-12-04-10-30","US DOE Distillate Inventories",2649,"-1500",4149
"112","2013-11-27-10-30","US DOE Distillate Inventories",-1666,"-1000",-666
"113","2013-11-20-10-30","US DOE Distillate Inventories",-4795,"-280",-4515
"114","2013-11-14-11-00","US DOE Distillate Inventories",-481,"-1000",519
"115","2013-11-06-10-30","US DOE Distillate Inventories",-4899,"-1500",-3399
"116","2013-10-30-10-30","US DOE Distillate Inventories",-3058,"-1000",-2058
"117","2013-10-23-10-30","US DOE Distillate Inventories",1537,"-1800",3337
"118","2013-10-21-10-30","US DOE Distillate Inventories",1537,"-1800",3337
"119","2013-10-09-10-30","US DOE Distillate Inventories",-3141,"-1150",-1991
"120","2013-10-02-10-30","US DOE Distillate Inventories",-1680,"-1000",-680
"121","2013-09-25-10-30","US DOE Distillate Inventories",-234,"-925",691
"122","2013-09-18-10-30","US DOE Distillate Inventories",-1079,"500",-1579
"123","2013-09-11-10-30","US DOE Distillate Inventories",2586,"600",1986
"124","2013-09-05-11-00","US DOE Distillate Inventories",549,"600",-51
"125","2013-08-28-10-30","US DOE Distillate Inventories",-316,"550",-866
"126","2013-08-21-10-30","US DOE Distillate Inventories",871,"1000",-129
"127","2013-08-14-10-30","US DOE Distillate Inventories",2027,"1000",1027
"128","2013-08-07-10-30","US DOE Distillate Inventories",469,"0",469
"129","2013-07-31-10-30","US DOE Distillate Inventories",-466,"450",-916
"130","2013-07-24-10-30","US DOE Distillate Inventories",-1227,"1850",-3077
"131","2013-07-17-10-30","US DOE Distillate Inventories",3870,"1500",2370
"132","2013-07-10-10-30","US DOE Distillate Inventories",3038,"1000",2038
"133","2013-07-03-10-30","US DOE Distillate Inventories",-2418,"1000",-3418
"134","2013-06-26-10-30","US DOE Distillate Inventories",1567,"650",917
"135","2013-06-19-10-30","US DOE Distillate Inventories",-489,"925",-1414
"136","2013-06-12-10-30","US DOE Distillate Inventories",-1163,"1500",-2663
"137","2013-06-05-10-30","US DOE Distillate Inventories",2611,"1400",1211
"138","2013-05-30-11-00","US DOE Distillate Inventories",1851,"-450",2301
"139","2013-05-22-10-30","US DOE Distillate Inventories",-1052,"1000",-2052
"140","2013-05-15-10-30","US DOE Distillate Inventories",2300,"475",1825
"141","2013-05-08-10-30","US DOE Distillate Inventories",1812,"500",1312
"142","2013-05-01-10-30","US DOE Distillate Inventories",474,"250",224
"143","2013-04-24-10-30","US DOE Distillate Inventories",97,"500",-403
"144","2013-04-17-10-30","US DOE Distillate Inventories",2364,"-350",2714
"145","2013-04-10-10-30","US DOE Distillate Inventories",-169,"-1500",1331
"146","2013-04-03-10-30","US DOE Distillate Inventories",-2266,"-1100",-1166
"147","2013-03-27-10-30","US DOE Distillate Inventories",-4513,"-850",-3663
"148","2013-03-20-10-30","US DOE Distillate Inventories",-672,"-1000",328
"149","2013-03-13-10-30","US DOE Distillate Inventories",83,"-2000",2083
"150","2013-03-06-10-30","US DOE Distillate Inventories",-3830,"-1000",-2830
"151","2013-02-27-10-30","US DOE Distillate Inventories",557,"-1550",2107
"152","2013-02-21-11-00","US DOE Distillate Inventories",-2277,"-1800",-477
"153","2013-02-13-10-30","US DOE Distillate Inventories",-3677,"-1750",-1927
"154","2013-02-06-10-30","US DOE Distillate Inventories",-1042,"-625",-417
"155","2013-01-30-10-30","US DOE Distillate Inventories",-2315,"-500",-1815
"156","2013-01-24-11-00","US DOE Distillate Inventories",508,"0",508
"157","2013-01-16-10-30","US DOE Distillate Inventories",1686,"1500",186
"158","2013-01-09-10-30","US DOE Distillate Inventories",6777,"1900",4877
"159","2013-01-04-11-00","US DOE Distillate Inventories",4574,"1250",3324
"160","2012-12-28-11-00","US DOE Distillate Inventories",2423,"-850",3273
"161","2012-12-19-10-30","US DOE Distillate Inventories",-1085,"1000",-2085
"162","2012-12-12-10-30","US DOE Distillate Inventories",2986,"1100",1886
"163","2012-12-05-10-30","US DOE Distillate Inventories",3027,"850",2177
"164","2012-11-28-10-30","US DOE Distillate Inventories",-800,"500",-1300
"165","2012-11-21-10-30","US DOE Distillate Inventories",-2675,"-1000",-1675
"166","2012-11-15-11-00","US DOE Distillate Inventories",-2539,"-950",-1589
"167","2012-11-07-10-30","US DOE Distillate Inventories",131,"-1250",1381
"168","2012-11-01-11-00","US DOE Distillate Inventories",-93,"-1400",1307
"169","2012-10-24-10-30","US DOE Distillate Inventories",-646,"-1200",554
"170","2012-10-17-10-30","US DOE Distillate Inventories",-2218,"-1500",-718
"171","2012-10-11-11-00","US DOE Distillate Inventories",-3177,"-1000",-2177
"172","2012-10-03-10-30","US DOE Distillate Inventories",-3689,"-400",-3289
"173","2012-09-26-10-30","US DOE Distillate Inventories",-482,"500",-982
"174","2012-09-19-10-30","US DOE Distillate Inventories",-322,"1000",-1322
"175","2012-09-12-10-30","US DOE Distillate Inventories",1476,"-500",1976
"176","2012-09-06-11-00","US DOE Distillate Inventories",993,"-1550",2543
"177","2012-08-29-10-30","US DOE Distillate Inventories",873,"200",673
"178","2012-08-22-10-30","US DOE Distillate Inventories",992,"1000",-8
"179","2012-08-15-10-30","US DOE Distillate Inventories",677,"-275",952
"180","2012-08-08-10-30","US DOE Distillate Inventories",-724,"250",-974
"181","2012-08-01-10-30","US DOE Distillate Inventories",-974,"1100",-2074
"182","2012-07-25-10-30","US DOE Distillate Inventories",1708,"1400",308
"183","2012-07-18-10-30","US DOE Distillate Inventories",2619,"1300",1319
"184","2012-07-11-10-30","US DOE Distillate Inventories",3112,"625",2487
"185","2012-07-05-11-00","US DOE Distillate Inventories",-1051,"1000",-2051
"186","2012-06-27-10-30","US DOE Distillate Inventories",-2279,"1225",-3504
"187","2012-06-20-10-30","US DOE Distillate Inventories",1156,"1000",156
"188","2012-06-13-10-30","US DOE Distillate Inventories",-63,"1175",-1238
"189","2012-06-06-10-30","US DOE Distillate Inventories",2253,"-250",2503
"190","2012-05-31-11-00","US DOE Distillate Inventories",-1709,"0",-1709
"191","2012-05-23-10-30","US DOE Distillate Inventories",-309,"-500",191
"192","2012-05-16-10-30","US DOE Distillate Inventories",-969,"150",-1119
"193","2012-05-09-10-30","US DOE Distillate Inventories",-3251,"125",-3376
"194","2012-05-02-10-30","US DOE Distillate Inventories",-1903,"-350",-1553
"195","2012-04-25-10-30","US DOE Distillate Inventories",-3052,"500",-3552
"196","2012-04-18-10-30","US DOE Distillate Inventories",-2908,"-125",-2783
"197","2012-04-11-10-30","US DOE Distillate Inventories",-4000,"-250",-3750
"198","2012-04-04-10-30","US DOE Distillate Inventories",19,"-500",519
"199","2012-03-28-10-30","US DOE Distillate Inventories",-711,"-500",-211
"200","2012-03-21-10-30","US DOE Distillate Inventories",1763,"-1500",3263
"201","2012-03-14-10-30","US DOE Distillate Inventories",-4682,"-1500",-3182
"202","2012-03-07-10-30","US DOE Distillate Inventories",-1944,"-1650",-294
"203","2012-02-29-10-30","US DOE Distillate Inventories",-2069,"-750",-1319
"204","2012-02-23-11-00","US DOE Distillate Inventories",-208,"-1500",1292
"205","2012-02-15-10-30","US DOE Distillate Inventories",-2867,"-1100",-1767
"206","2012-02-08-10-30","US DOE Distillate Inventories",1174,"-875",2049
"207","2012-02-01-10-30","US DOE Distillate Inventories",-135,"-1375",1240
"208","2012-01-25-10-30","US DOE Distillate Inventories",-2456,"-125",-2331
"209","2012-01-19-11-00","US DOE Distillate Inventories",438,"1375",-937
"210","2012-01-11-10-30","US DOE Distillate Inventories",3985,"2250",1735
"211","2012-01-05-11-00","US DOE Distillate Inventories",3224,"1000",2224
"212","2011-12-29-11-00","US DOE Distillate Inventories",1205,"-650",1855
