"","date","which.news","actual","forcast","difference"
"84","2014-06-11-10-30","US DOE Gasoline Inventories",1697,"1000",697
"85","2014-06-04-10-30","US DOE Gasoline Inventories",210,"400",-190
"86","2014-05-29-11-00","US DOE Gasoline Inventories",-1803,"0",-1803
"87","2014-05-21-10-30","US DOE Gasoline Inventories",970,"0",970
"88","2014-05-14-10-30","US DOE Gasoline Inventories",-772,"300",-1072
"89","2014-05-07-10-30","US DOE Gasoline Inventories",1608,"500",1108
"90","2014-04-30-10-30","US DOE Gasoline Inventories",1564,"-900",2464
"91","2014-04-23-10-30","US DOE Gasoline Inventories",-274,"-1650",1376
"92","2014-04-16-10-30","US DOE Gasoline Inventories",-154,"-1750",1596
"93","2014-04-09-10-30","US DOE Gasoline Inventories",-5188,"-1000",-4188
"94","2014-04-02-10-30","US DOE Gasoline Inventories",-1574,"-2000",426
"95","2014-03-26-10-30","US DOE Gasoline Inventories",-5101,"-1500",-3601
"96","2014-03-19-10-30","US DOE Gasoline Inventories",-1467,"-1550",83
"97","2014-03-12-10-30","US DOE Gasoline Inventories",-5230,"-2000",-3230
"98","2014-03-05-10-30","US DOE Gasoline Inventories",-1604,"-1000",-604
"99","2014-02-26-10-30","US DOE Gasoline Inventories",-2807,"-1000",-1807
"100","2014-02-20-11-00","US DOE Gasoline Inventories",309,"-850",1159
"101","2014-02-12-10-30","US DOE Gasoline Inventories",-1853,"100",-1953
"102","2014-02-05-10-30","US DOE Gasoline Inventories",505,"1150",-645
"103","2014-01-29-10-30","US DOE Gasoline Inventories",-819,"1600",-2419
"104","2014-01-23-11-00","US DOE Gasoline Inventories",2123,"1750",373
"105","2014-01-15-10-30","US DOE Gasoline Inventories",6183,"2500",3683
"106","2014-01-08-10-30","US DOE Gasoline Inventories",6243,"2500",3743
"107","2014-01-03-11-00","US DOE Gasoline Inventories",844,"1375",-531
"108","2013-12-27-11-00","US DOE Gasoline Inventories",-614,"1100",-1714
"109","2013-12-18-10-30","US DOE Gasoline Inventories",1337,"1500",-163
"110","2013-12-11-10-30","US DOE Gasoline Inventories",6717,"2000",4717
"111","2013-12-04-10-30","US DOE Gasoline Inventories",1828,"1250",578
"112","2013-11-27-10-30","US DOE Gasoline Inventories",1751,"500",1251
"113","2013-11-20-10-30","US DOE Gasoline Inventories",-345,"-300",-45
"114","2013-11-14-11-00","US DOE Gasoline Inventories",-838,"-900",62
"115","2013-11-06-10-30","US DOE Gasoline Inventories",-3755,"-400",-3355
"116","2013-10-30-10-30","US DOE Gasoline Inventories",-1713,"-200",-1513
"117","2013-10-23-10-30","US DOE Gasoline Inventories",-1805,"-1000",-805
"118","2013-10-21-10-30","US DOE Gasoline Inventories",-1805,"-1000",-805
"119","2013-10-09-10-30","US DOE Gasoline Inventories",149,"1050",-901
"120","2013-10-02-10-30","US DOE Gasoline Inventories",3495,"-700",4195
"121","2013-09-25-10-30","US DOE Gasoline Inventories",217,"-750",967
"122","2013-09-18-10-30","US DOE Gasoline Inventories",-1627,"500",-2127
"123","2013-09-11-10-30","US DOE Gasoline Inventories",1658,"-1000",2658
"124","2013-09-05-11-00","US DOE Gasoline Inventories",-1827,"-700",-1127
"125","2013-08-28-10-30","US DOE Gasoline Inventories",-587,"-1375",788
"126","2013-08-21-10-30","US DOE Gasoline Inventories",-4029,"-1500",-2529
"127","2013-08-14-10-30","US DOE Gasoline Inventories",-1169,"-1600",431
"128","2013-08-07-10-30","US DOE Gasoline Inventories",135,"-500",635
"129","2013-07-31-10-30","US DOE Gasoline Inventories",770,"-1500",2270
"130","2013-07-24-10-30","US DOE Gasoline Inventories",-1389,"1650",-3039
"131","2013-07-17-10-30","US DOE Gasoline Inventories",3055,"-1500",4555
"132","2013-07-10-10-30","US DOE Gasoline Inventories",-2634,"1000",-3634
"133","2013-07-03-10-30","US DOE Gasoline Inventories",-1719,"700",-2419
"134","2013-06-26-10-30","US DOE Gasoline Inventories",3653,"875",2778
"135","2013-06-19-10-30","US DOE Gasoline Inventories",183,"750",-567
"136","2013-06-12-10-30","US DOE Gasoline Inventories",2748,"500",2248
